localidad,NOMBRE EFECTOR COMUNITARIO,RNEJyP,CÓDIGO ACTIVIDAD 2014 MODIFICADO,TALLER,nombre_a,calle,numero,partido,provincia,codpostal,distrito,edificio,piso,dpto,barrio,fax
VILLA RIO ICHO CRUZ,CJP DE  ICHO CRUZ,04-013-030-340,,1106 - DANZAS,CENTRO DE JYP DE ICHO CRUZ,URUGUAY,S/N,PUNILLA,4,5153,0,,,,,03541-496014
VILLA RIO ICHO CRUZ,CJP DE  ICHO CRUZ,04-013-030-340,,2106 - SALUD MENTAL,CENTRO DE JYP DE ICHO CRUZ,URUGUAY,S/N,PUNILLA,4,5153,0,,,,,03541-496014
VILLA RIO ICHO CRUZ,CJP DE  ICHO CRUZ,04-013-030-340,,2108 - OTRAS,CENTRO DE JYP DE ICHO CRUZ,URUGUAY,S/N,PUNILLA,4,5153,0,,,,,03541-496014
VILLA RIO ICHO CRUZ,CJP DE  ICHO CRUZ,04-013-030-340,,4104 - CAPACITACIÓN Y TRANSFERENCIA DE TECNOLOGÍAS EN LIDERAZGO COMUNITARIO A ORGANIZACIONES,CENTRO DE JYP DE ICHO CRUZ,URUGUAY,S/N,PUNILLA,4,5153,0,,,,,03541-496014
VILLA RIO ICHO CRUZ,CJP DE  ICHO CRUZ,04-013-030-340,,1503 - FESTEJO LOCALES,CENTRO DE JYP DE ICHO CRUZ,URUGUAY,S/N,PUNILLA,4,5153,0,,,,,03541-496014
SACANTA,CJP SACANTA,04-020-043-104,,2101 - ALIMENTACIÓN SALUDABLE,C JYP DE SACANTA,BELGRANO *,667,SAN JUSTO,4,5945,3,,,,,REF. 03533-492191*
SACANTA,CJP SACANTA,04-020-043-104,,3103 - RELEVAMIENTO SOCIO SANITARIO DE POBLACIÓN AFILIADA EN GENERAL,C JYP DE SACANTA,BELGRANO *,667,SAN JUSTO,4,5945,3,,,,,REF. 03533-492191*
SACANTA,CJP SACANTA,04-020-043-104,,1503 - FESTEJO LOCALES,C JYP DE SACANTA,BELGRANO *,667,SAN JUSTO,4,5945,3,,,,,REF. 03533-492191*
SACANTA,CJP SACANTA,04-020-043-104,,1201 - MEMORIA,C JYP DE SACANTA,BELGRANO *,667,SAN JUSTO,4,5945,3,,,,,REF. 03533-492191*
SACANTA,CJP SACANTA,04-020-043-104,,4104 - CAPACITACIÓN Y TRANSFERENCIA DE TECNOLOGÍAS EN LIDERAZGO COMUNITARIO A ORGANIZACIONES,C JYP DE SACANTA,BELGRANO *,667,SAN JUSTO,4,5945,3,,,,,REF. 03533-492191*
SACANTA,CJP SACANTA,04-020-043-104,,2108 - OTRAS,C JYP DE SACANTA,BELGRANO *,667,SAN JUSTO,4,5945,3,,,,,REF. 03533-492191*
SACANTA,CJP SACANTA,04-020-043-104,,1101 - GIMNASIA,C JYP DE SACANTA,BELGRANO *,667,SAN JUSTO,4,5945,3,,,,,REF. 03533-492191*
SACANTA,CJP SACANTA,04-020-043-104,,1106 - DANZAS,C JYP DE SACANTA,BELGRANO *,667,SAN JUSTO,4,5945,3,,,,,REF. 03533-492191*
SACANTA,CJP SACANTA,04-020-043-104,,1106 - DANZAS,C JYP DE SACANTA,BELGRANO *,667,SAN JUSTO,4,5945,3,,,,,REF. 03533-492191*
SACANTA,CJP SACANTA,04-020-043-104,,1203 - ALFABETIZACIÓN,C JYP DE SACANTA,BELGRANO *,667,SAN JUSTO,4,5945,3,,,,,REF. 03533-492191*
VILLA DEL ROSARIO,CJYP Y BIBLIOTECA POPULAR VILLA DEL ROSARIO,04-017-020-045,,2101 - ALIMENTACIÓN SALUDABLE,ASOC JYP DE VILLA DEL ROSARIO,SALTA,770,RIO SEGUNDO,4,5963,0,,,,,03573-423398
VILLA DEL ROSARIO,CJYP Y BIBLIOTECA POPULAR VILLA DEL ROSARIO,04-017-020-045,,3103 - RELEVAMIENTO SOCIO SANITARIO DE POBLACIÓN AFILIADA EN GENERAL,ASOC JYP DE VILLA DEL ROSARIO,SALTA,770,RIO SEGUNDO,4,5963,0,,,,,03573-423398
VILLA DEL ROSARIO,CJYP Y BIBLIOTECA POPULAR VILLA DEL ROSARIO,04-017-020-045,,4104 - CAPACITACIÓN Y TRANSFERENCIA DE TECNOLOGÍAS EN LIDERAZGO COMUNITARIO A ORGANIZACIONES,ASOC JYP DE VILLA DEL ROSARIO,SALTA,770,RIO SEGUNDO,4,5963,0,,,,,03573-423398
VILLA DEL ROSARIO,CJYP Y BIBLIOTECA POPULAR VILLA DEL ROSARIO,04-017-020-045,,1201 - MEMORIA,ASOC JYP DE VILLA DEL ROSARIO,SALTA,770,RIO SEGUNDO,4,5963,0,,,,,03573-423398
VILLA DEL ROSARIO,CJYP Y BIBLIOTECA POPULAR VILLA DEL ROSARIO,04-017-020-045,,1102 - YOGA / OTRAS TÉCNICAS ORIENTALES,ASOC JYP DE VILLA DEL ROSARIO,SALTA,770,RIO SEGUNDO,4,5963,0,,,,,03573-423398
VILLA DEL ROSARIO,CJYP Y BIBLIOTECA POPULAR VILLA DEL ROSARIO,04-017-020-045,,1503 - FESTEJO LOCALES,ASOC JYP DE VILLA DEL ROSARIO,SALTA,770,RIO SEGUNDO,4,5963,0,,,,,03573-423398
VILLA DEL ROSARIO,CJYP Y BIBLIOTECA POPULAR VILLA DEL ROSARIO,04-017-020-045,,1101 - GIMNASIA,ASOC JYP DE VILLA DEL ROSARIO,SALTA,770,RIO SEGUNDO,4,5963,0,,,,,03573-423398
VILLA DEL ROSARIO,CJYP Y BIBLIOTECA POPULAR VILLA DEL ROSARIO,04-017-020-045,,1106 - DANZAS,ASOC JYP DE VILLA DEL ROSARIO,SALTA,770,RIO SEGUNDO,4,5963,0,,,,,03573-423398
EL ARAÑADO,CJP EL ARAÐADO,04-020-018-080,,2101 - ALIMENTACIÓN SALUDABLE,C JYP EL ARAÑADO,MIGUEL ANGEL MUÑOZ *,430,SAN JUSTO,4,5947,3,,,,,493521*
EL ARAÑADO,CJP EL ARAÐADO,04-020-018-080,,3103 - RELEVAMIENTO SOCIO SANITARIO DE POBLACIÓN AFILIADA EN GENERAL,C JYP EL ARAÑADO,MIGUEL ANGEL MUÑOZ *,430,SAN JUSTO,4,5947,3,,,,,493521*
EL ARAÑADO,CJP EL ARAÐADO,04-020-018-080,,1503 - FESTEJO LOCALES,C JYP EL ARAÑADO,MIGUEL ANGEL MUÑOZ *,430,SAN JUSTO,4,5947,3,,,,,493521*
EL ARAÑADO,CJP EL ARAÐADO,04-020-018-080,,1201 - MEMORIA,C JYP EL ARAÑADO,MIGUEL ANGEL MUÑOZ *,430,SAN JUSTO,4,5947,3,,,,,493521*
EL ARAÑADO,CJP EL ARAÐADO,04-020-018-080,,1101 - GIMNASIA,C JYP EL ARAÑADO,MIGUEL ANGEL MUÑOZ *,430,SAN JUSTO,4,5947,3,,,,,493521*
EL ARAÑADO,CJP EL ARAÐADO,04-020-018-080,,4104 - CAPACITACIÓN Y TRANSFERENCIA DE TECNOLOGÍAS EN LIDERAZGO COMUNITARIO A ORGANIZACIONES,C JYP EL ARAÑADO,MIGUEL ANGEL MUÑOZ *,430,SAN JUSTO,4,5947,3,,,,,493521*
LUQUE,ASOC DE JUB Y PENS NACIONALES LUQUE,04-017-011-090,,2101 - ALIMENTACIÓN SALUDABLE,C JYP DE LUQUE,JUAN XXIII,1095,RIO SEGUNDO,4,5967,0,,,,,03573-480353*
LUQUE,ASOC DE JUB Y PENS NACIONALES LUQUE,04-017-011-090,,3103 - RELEVAMIENTO SOCIO SANITARIO DE POBLACIÓN AFILIADA EN GENERAL,C JYP DE LUQUE,JUAN XXIII,1095,RIO SEGUNDO,4,5967,0,,,,,03573-480353*
LUQUE,ASOC DE JUB Y PENS NACIONALES LUQUE,04-017-011-090,,1503 - FESTEJO LOCALES,C JYP DE LUQUE,JUAN XXIII,1095,RIO SEGUNDO,4,5967,0,,,,,03573-480353*
LUQUE,ASOC DE JUB Y PENS NACIONALES LUQUE,04-017-011-090,,1201 - MEMORIA,C JYP DE LUQUE,JUAN XXIII,1095,RIO SEGUNDO,4,5967,0,,,,,03573-480353*
LUQUE,ASOC DE JUB Y PENS NACIONALES LUQUE,04-017-011-090,,1101 - GIMNASIA,C JYP DE LUQUE,JUAN XXIII,1095,RIO SEGUNDO,4,5967,0,,,,,03573-480353*
LUQUE,ASOC DE JUB Y PENS NACIONALES LUQUE,04-017-011-090,,2108 - OTRAS,C JYP DE LUQUE,JUAN XXIII,1095,RIO SEGUNDO,4,5967,0,,,,,03573-480353*
LUQUE,ASOC DE JUB Y PENS NACIONALES LUQUE,04-017-011-090,,4104 - CAPACITACIÓN Y TRANSFERENCIA DE TECNOLOGÍAS EN LIDERAZGO COMUNITARIO A ORGANIZACIONES,C JYP DE LUQUE,JUAN XXIII,1095,RIO SEGUNDO,4,5967,0,,,,,03573-480353*
LAS JUNTURAS,CJP LUIS M SALVO ( Las Junturas),04-017-009-142,,2101 - ALIMENTACIÓN SALUDABLE,C JYP LUIS DE SALVO DE LAS JUNTURAS,VELEZ SARFIELD *,190,RIO SEGUNDO,4,5965,0,,,,,03532- 492059*
LAS JUNTURAS,CJP LUIS M SALVO ( Las Junturas),04-017-009-142,,3103 - RELEVAMIENTO SOCIO SANITARIO DE POBLACIÓN AFILIADA EN GENERAL,C JYP LUIS DE SALVO DE LAS JUNTURAS,VELEZ SARFIELD *,190,RIO SEGUNDO,4,5965,0,,,,,03532- 492059*
LAS JUNTURAS,CJP LUIS M SALVO ( Las Junturas),04-017-009-142,,1503 - FESTEJO LOCALES,C JYP LUIS DE SALVO DE LAS JUNTURAS,VELEZ SARFIELD *,190,RIO SEGUNDO,4,5965,0,,,,,03532- 492059*
LAS JUNTURAS,CJP LUIS M SALVO ( Las Junturas),04-017-009-142,,1201 - MEMORIA,C JYP LUIS DE SALVO DE LAS JUNTURAS,VELEZ SARFIELD *,190,RIO SEGUNDO,4,5965,0,,,,,03532- 492059*
LAS JUNTURAS,CJP LUIS M SALVO ( Las Junturas),04-017-009-142,,1101 - GIMNASIA,C JYP LUIS DE SALVO DE LAS JUNTURAS,VELEZ SARFIELD *,190,RIO SEGUNDO,4,5965,0,,,,,03532- 492059*
LAS JUNTURAS,CJP LUIS M SALVO ( Las Junturas),04-017-009-142,,1102 - YOGA / OTRAS TÉCNICAS ORIENTALES,C JYP LUIS DE SALVO DE LAS JUNTURAS,VELEZ SARFIELD *,190,RIO SEGUNDO,4,5965,0,,,,,03532- 492059*
LAS JUNTURAS,CJP LUIS M SALVO ( Las Junturas),04-017-009-142,,1106 - DANZAS,C JYP LUIS DE SALVO DE LAS JUNTURAS,VELEZ SARFIELD *,190,RIO SEGUNDO,4,5965,0,,,,,03532- 492059*
LAS JUNTURAS,CJP LUIS M SALVO ( Las Junturas),04-017-009-142,,4104 - CAPACITACIÓN Y TRANSFERENCIA DE TECNOLOGÍAS EN LIDERAZGO COMUNITARIO A ORGANIZACIONES,C JYP LUIS DE SALVO DE LAS JUNTURAS,VELEZ SARFIELD *,190,RIO SEGUNDO,4,5965,0,,,,,03532- 492059*
MATORRALES,ASOC DE J Y P DE MATORRALES,04-017-013-169,,2101 - ALIMENTACIÓN SALUDABLE,ASOC JYP DE MATORRALES,"LEON, ESTEBAN",S/N,RIO SEGUNDO,4,5965,0,,,,,03573-493232*
MATORRALES,ASOC DE J Y P DE MATORRALES,04-017-013-169,,3103 - RELEVAMIENTO SOCIO SANITARIO DE POBLACIÓN AFILIADA EN GENERAL,ASOC JYP DE MATORRALES,"LEON, ESTEBAN",S/N,RIO SEGUNDO,4,5965,0,,,,,03573-493232*
MATORRALES,ASOC DE J Y P DE MATORRALES,04-017-013-169,,1106 - DANZAS,ASOC JYP DE MATORRALES,"LEON, ESTEBAN",S/N,RIO SEGUNDO,4,5965,0,,,,,03573-493232*
MATORRALES,ASOC DE J Y P DE MATORRALES,04-017-013-169,,1201 - MEMORIA,ASOC JYP DE MATORRALES,"LEON, ESTEBAN",S/N,RIO SEGUNDO,4,5965,0,,,,,03573-493232*
MATORRALES,ASOC DE J Y P DE MATORRALES,04-017-013-169,,1102 - YOGA / OTRAS TÉCNICAS ORIENTALES,ASOC JYP DE MATORRALES,"LEON, ESTEBAN",S/N,RIO SEGUNDO,4,5965,0,,,,,03573-493232*
MATORRALES,ASOC DE J Y P DE MATORRALES,04-017-013-169,,2108 - OTRAS,ASOC JYP DE MATORRALES,"LEON, ESTEBAN",S/N,RIO SEGUNDO,4,5965,0,,,,,03573-493232*
MATORRALES,ASOC DE J Y P DE MATORRALES,04-017-013-169,,4104 - CAPACITACIÓN Y TRANSFERENCIA DE TECNOLOGÍAS EN LIDERAZGO COMUNITARIO A ORGANIZACIONES,ASOC JYP DE MATORRALES,"LEON, ESTEBAN",S/N,RIO SEGUNDO,4,5965,0,,,,,03573-493232*
CALCHIN,CJP NACIONALES Y DE TERCERA EDAD DE CALCHIN,04-017-021-201,,2101 - ALIMENTACIÓN SALUDABLE,C JYP DE CALCHIN,SANTA TERESA ESQ COLON *,S/N,RIO SEGUNDO,4,5969,0,,,,,03573-497171*
CALCHIN,CJP NACIONALES Y DE TERCERA EDAD DE CALCHIN,04-017-021-201,,3103 - RELEVAMIENTO SOCIO SANITARIO DE POBLACIÓN AFILIADA EN GENERAL,C JYP DE CALCHIN,SANTA TERESA ESQ COLON *,S/N,RIO SEGUNDO,4,5969,0,,,,,03573-497171*
CALCHIN,CJP NACIONALES Y DE TERCERA EDAD DE CALCHIN,04-017-021-201,,1503 - FESTEJO LOCALES,C JYP DE CALCHIN,SANTA TERESA ESQ COLON *,S/N,RIO SEGUNDO,4,5969,0,,,,,03573-497171*
CALCHIN,CJP NACIONALES Y DE TERCERA EDAD DE CALCHIN,04-017-021-201,,1201 - MEMORIA,C JYP DE CALCHIN,SANTA TERESA ESQ COLON *,S/N,RIO SEGUNDO,4,5969,0,,,,,03573-497171*
CALCHIN,CJP NACIONALES Y DE TERCERA EDAD DE CALCHIN,04-017-021-201,,1101 - GIMNASIA,C JYP DE CALCHIN,SANTA TERESA ESQ COLON *,S/N,RIO SEGUNDO,4,5969,0,,,,,03573-497171*
CALCHIN,CJP NACIONALES Y DE TERCERA EDAD DE CALCHIN,04-017-021-201,,1203 - ALFABETIZACIÓN,C JYP DE CALCHIN,SANTA TERESA ESQ COLON *,S/N,RIO SEGUNDO,4,5969,0,,,,,03573-497171*
CALCHIN,CJP NACIONALES Y DE TERCERA EDAD DE CALCHIN,04-017-021-201,,4104 - CAPACITACIÓN Y TRANSFERENCIA DE TECNOLOGÍAS EN LIDERAZGO COMUNITARIO A ORGANIZACIONES,C JYP DE CALCHIN,SANTA TERESA ESQ COLON *,S/N,RIO SEGUNDO,4,5969,0,,,,,03573-497171*
LA PLAYOSA,C.J.P. LA PLAYOSA,04-006-010-129,,2101 - ALIMENTACIÓN SALUDABLE,C JYP DE LA PLAYOSA,BV. CORDOBA Y SAN MARTIN,,SAN MARTIN,4,5911,4,,,,,
LA PLAYOSA,C.J.P. LA PLAYOSA,04-006-010-129,,3103 - RELEVAMIENTO SOCIO SANITARIO DE POBLACIÓN AFILIADA EN GENERAL,C JYP DE LA PLAYOSA,BV. CORDOBA Y SAN MARTIN,,SAN MARTIN,4,5911,4,,,,,
LA PLAYOSA,C.J.P. LA PLAYOSA,04-006-010-129,,1410 - ARTE CULINARIO,C JYP DE LA PLAYOSA,BV. CORDOBA Y SAN MARTIN,,SAN MARTIN,4,5911,4,,,,,
LA PLAYOSA,C.J.P. LA PLAYOSA,04-006-010-129,,1101 - GIMNASIA,C JYP DE LA PLAYOSA,BV. CORDOBA Y SAN MARTIN,,SAN MARTIN,4,5911,4,,,,,
LA PLAYOSA,C.J.P. LA PLAYOSA,04-006-010-129,,1206 - COMPUTACIÓN,C JYP DE LA PLAYOSA,BV. CORDOBA Y SAN MARTIN,,SAN MARTIN,4,5911,4,,,,,
LA PLAYOSA,C.J.P. LA PLAYOSA,04-006-010-129,,1201 - MEMORIA,C JYP DE LA PLAYOSA,BV. CORDOBA Y SAN MARTIN,,SAN MARTIN,4,5911,4,,,,,
LA PLAYOSA,C.J.P. LA PLAYOSA,04-006-010-129,,4104 - CAPACITACIÓN Y TRANSFERENCIA DE TECNOLOGÍAS EN LIDERAZGO COMUNITARIO A ORGANIZACIONES,C JYP DE LA PLAYOSA,BV. CORDOBA Y SAN MARTIN,,SAN MARTIN,4,5911,4,,,,,
MALAGUEÑO,CJP DE OLIVA,04-021-012-030,,2101 - ALIMENTACIÓN SALUDABLE,C JYP DE MALAGUEÑO,MENDOZA ESQ.PEÑENORI,S/N,SANTA MARIA,4,5101,0,,,,,REF. 0351-4981115*
MALAGUEÑO,CJP DE OLIVA,04-021-012-030,,3103 - RELEVAMIENTO SOCIO SANITARIO DE POBLACIÓN AFILIADA EN GENERAL,C JYP DE MALAGUEÑO,MENDOZA ESQ.PEÑENORI,S/N,SANTA MARIA,4,5101,0,,,,,REF. 0351-4981115*
MALAGUEÑO,CJP DE OLIVA,04-021-012-030,,1410 - ARTE CULINARIO,C JYP DE MALAGUEÑO,MENDOZA ESQ.PEÑENORI,S/N,SANTA MARIA,4,5101,0,,,,,REF. 0351-4981115*
MALAGUEÑO,CJP DE OLIVA,04-021-012-030,,1101 - GIMNASIA,C JYP DE MALAGUEÑO,MENDOZA ESQ.PEÑENORI,S/N,SANTA MARIA,4,5101,0,,,,,REF. 0351-4981115*
MALAGUEÑO,CJP DE OLIVA,04-021-012-030,,1201 - MEMORIA,C JYP DE MALAGUEÑO,MENDOZA ESQ.PEÑENORI,S/N,SANTA MARIA,4,5101,0,,,,,REF. 0351-4981115*
MALAGUEÑO,CJP DE OLIVA,04-021-012-030,,4104 - CAPACITACIÓN Y TRANSFERENCIA DE TECNOLOGÍAS EN LIDERAZGO COMUNITARIO A ORGANIZACIONES,C JYP DE MALAGUEÑO,MENDOZA ESQ.PEÑENORI,S/N,SANTA MARIA,4,5101,0,,,,,REF. 0351-4981115*
VILLA MARIA,CJP LOS OLMOS VM,04-006-021-539,,2101 - ALIMENTACIÓN SALUDABLE,"CENTRO DE JUBILADOS ""LOS OLMOS""",INCA HUASI,S/N,GENERAL SAN MARTIN,4,5900,0,,,,LOS OLMOS,0353-15420-9900*
VILLA MARIA,CJP LOS OLMOS VM,04-006-021-539,,3103 - RELEVAMIENTO SOCIO SANITARIO DE POBLACIÓN AFILIADA EN GENERAL,"CENTRO DE JUBILADOS ""LOS OLMOS""",INCA HUASI,S/N,GENERAL SAN MARTIN,4,5900,0,,,,LOS OLMOS,0353-15420-9900*
VILLA MARIA,CJP LOS OLMOS VM,04-006-021-539,,1101 - GIMNASIA,"CENTRO DE JUBILADOS ""LOS OLMOS""",INCA HUASI,S/N,GENERAL SAN MARTIN,4,5900,0,,,,LOS OLMOS,0353-15420-9900*
VILLA MARIA,CJP LOS OLMOS VM,04-006-021-539,,1201 - MEMORIA,"CENTRO DE JUBILADOS ""LOS OLMOS""",INCA HUASI,S/N,GENERAL SAN MARTIN,4,5900,0,,,,LOS OLMOS,0353-15420-9900*
VILLA MARIA,CJP LOS OLMOS VM,04-006-021-539,,4104 - CAPACITACIÓN Y TRANSFERENCIA DE TECNOLOGÍAS EN LIDERAZGO COMUNITARIO A ORGANIZACIONES,"CENTRO DE JUBILADOS ""LOS OLMOS""",INCA HUASI,S/N,GENERAL SAN MARTIN,4,5900,0,,,,LOS OLMOS,0353-15420-9900*
PASCO,C.J.P. DE PASCO,04-006-014-147,,2101 - ALIMENTACIÓN SALUDABLE,C JYP DE PASCO,BUENOS AIRES,S/N,SAN MARTIN,4,5925,4,,,,,
PASCO,C.J.P. DE PASCO,04-006-014-147,,3103 - RELEVAMIENTO SOCIO SANITARIO DE POBLACIÓN AFILIADA EN GENERAL,C JYP DE PASCO,BUENOS AIRES,S/N,SAN MARTIN,4,5925,4,,,,,
PASCO,C.J.P. DE PASCO,04-006-014-147,,1410 - ARTE CULINARIO,C JYP DE PASCO,BUENOS AIRES,S/N,SAN MARTIN,4,5925,4,,,,,
PASCO,C.J.P. DE PASCO,04-006-014-147,,1103 - TÉCNICAS DE TRABAJO CORPORAL,C JYP DE PASCO,BUENOS AIRES,S/N,SAN MARTIN,4,5925,4,,,,,
PASCO,C.J.P. DE PASCO,04-006-014-147,,1102 - YOGA / OTRAS TÉCNICAS ORIENTALES,C JYP DE PASCO,BUENOS AIRES,S/N,SAN MARTIN,4,5925,4,,,,,
PASCO,C.J.P. DE PASCO,04-006-014-147,,1201 - MEMORIA,C JYP DE PASCO,BUENOS AIRES,S/N,SAN MARTIN,4,5925,4,,,,,
PASCO,C.J.P. DE PASCO,04-006-014-147,,1405 - CANTO / CORO,C JYP DE PASCO,BUENOS AIRES,S/N,SAN MARTIN,4,5925,4,,,,,
PASCO,C.J.P. DE PASCO,04-006-014-147,,4102 - CONOCIMIENTO Y UTILIZACIÓN DE LOS SERVICIOS DEL INSSJYP,C JYP DE PASCO,BUENOS AIRES,S/N,SAN MARTIN,4,5925,4,,,,,
POZO DEL MOLL,CJP POZO DEL MOLLE,04-017-016-118,,2101 - ALIMENTACIÓN SALUDABLE,AGRUP JYP NAC DE POZO DEL MOLLE,RIVADAVIA,168,RIO SEGUNDO,4,5913,0,,,,,0353-4831402*
POZO DEL MOLL,CJP POZO DEL MOLLE,04-017-016-118,,3103 - RELEVAMIENTO SOCIO SANITARIO DE POBLACIÓN AFILIADA EN GENERAL,AGRUP JYP NAC DE POZO DEL MOLLE,RIVADAVIA,168,RIO SEGUNDO,4,5913,0,,,,,0353-4831402*
POZO DEL MOLL,CJP POZO DEL MOLLE,04-017-016-118,,1410 - ARTE CULINARIO,AGRUP JYP NAC DE POZO DEL MOLLE,RIVADAVIA,168,RIO SEGUNDO,4,5913,0,,,,,0353-4831402*
POZO DEL MOLL,CJP POZO DEL MOLLE,04-017-016-118,,1101 - GIMNASIA,AGRUP JYP NAC DE POZO DEL MOLLE,RIVADAVIA,168,RIO SEGUNDO,4,5913,0,,,,,0353-4831402*
POZO DEL MOLL,CJP POZO DEL MOLLE,04-017-016-118,,1201 - MEMORIA,AGRUP JYP NAC DE POZO DEL MOLLE,RIVADAVIA,168,RIO SEGUNDO,4,5913,0,,,,,0353-4831402*
POZO DEL MOLL,CJP POZO DEL MOLLE,04-017-016-118,,4105 - OTROS,AGRUP JYP NAC DE POZO DEL MOLLE,RIVADAVIA,168,RIO SEGUNDO,4,5913,0,,,,,0353-4831402*
POZO DEL MOLL,CJP POZO DEL MOLLE,04-017-016-118,,4104 - CAPACITACIÓN Y TRANSFERENCIA DE TECNOLOGÍAS EN LIDERAZGO COMUNITARIO A ORGANIZACIONES,AGRUP JYP NAC DE POZO DEL MOLLE,RIVADAVIA,168,RIO SEGUNDO,4,5913,0,,,,,0353-4831402*
VILLA NUEVA,CJP Va. DEL PARQUE,04-006-022-390,,2101 - ALIMENTACIÓN SALUDABLE,C JYP VILLA DEL PARQUE,CORDOBA,697,GENERAL SAN MARTIN,4,5903,4,,,,,0353-4910018
VILLA NUEVA,CJP Va. DEL PARQUE,04-006-022-390,,3103 - RELEVAMIENTO SOCIO SANITARIO DE POBLACIÓN AFILIADA EN GENERAL,C JYP VILLA DEL PARQUE,CORDOBA,697,GENERAL SAN MARTIN,4,5903,4,,,,,0353-4910018
VILLA NUEVA,CJP Va. DEL PARQUE,04-006-022-390,,1102 - YOGA / OTRAS TÉCNICAS ORIENTALES,C JYP VILLA DEL PARQUE,CORDOBA,697,GENERAL SAN MARTIN,4,5903,4,,,,,0353-4910018
VILLA NUEVA,CJP Va. DEL PARQUE,04-006-022-390,,1405 - CANTO / CORO,C JYP VILLA DEL PARQUE,CORDOBA,697,GENERAL SAN MARTIN,4,5903,4,,,,,0353-4910018
VILLA NUEVA,CJP Va. DEL PARQUE,04-006-022-390,,1408 - ARTESANÍAS / MANUALIDADES,C JYP VILLA DEL PARQUE,CORDOBA,697,GENERAL SAN MARTIN,4,5903,4,,,,,0353-4910018
VILLA NUEVA,CJP Va. DEL PARQUE,04-006-022-390,,1406 - ARTES PLÁSTICAS,C JYP VILLA DEL PARQUE,CORDOBA,697,GENERAL SAN MARTIN,4,5903,4,,,,,0353-4910018
VILLA NUEVA,CJP Va. DEL PARQUE,04-006-022-390,,4102 - CONOCIMIENTO Y UTILIZACIÓN DE LOS SERVICIOS DEL INSSJYP,C JYP VILLA DEL PARQUE,CORDOBA,697,GENERAL SAN MARTIN,4,5903,4,,,,,0353-4910018
TIO PUJIO,CJP TIO PUJIO,04-006-020-301,,2101 - ALIMENTACIÓN SALUDABLE,C JYP DE TIO PUJIO,CALLE B. MALDONADO*,76,SAN MARTIN,4,5936,4,,,,,
TIO PUJIO,CJP TIO PUJIO,04-006-020-301,,3103 - RELEVAMIENTO SOCIO SANITARIO DE POBLACIÓN AFILIADA EN GENERAL,C JYP DE TIO PUJIO,CALLE B. MALDONADO*,76,SAN MARTIN,4,5936,4,,,,,
TIO PUJIO,CJP TIO PUJIO,04-006-020-301,,1410 - ARTE CULINARIO,C JYP DE TIO PUJIO,CALLE B. MALDONADO*,76,SAN MARTIN,4,5936,4,,,,,
TIO PUJIO,CJP TIO PUJIO,04-006-020-301,,1102 - YOGA / OTRAS TÉCNICAS ORIENTALES,C JYP DE TIO PUJIO,CALLE B. MALDONADO*,76,SAN MARTIN,4,5936,4,,,,,
TIO PUJIO,CJP TIO PUJIO,04-006-020-301,,1201 - MEMORIA,C JYP DE TIO PUJIO,CALLE B. MALDONADO*,76,SAN MARTIN,4,5936,4,,,,,
TIO PUJIO,CJP TIO PUJIO,04-006-020-301,,4104 - CAPACITACIÓN Y TRANSFERENCIA DE TECNOLOGÍAS EN LIDERAZGO COMUNITARIO A ORGANIZACIONES,C JYP DE TIO PUJIO,CALLE B. MALDONADO*,76,SAN MARTIN,4,5936,4,,,,,
ARROYO CABRAL,CJP ARROYO CABRAL,04-006-002-020,,2101 - ALIMENTACIÓN SALUDABLE,C JYP ARROYO CABRAL,MARIANO MORENO,483,GENERAL SAN MARTIN,4,5917,4,,,,,0353-4877247
ARROYO CABRAL,CJP ARROYO CABRAL,04-006-002-020,,3103 - RELEVAMIENTO SOCIO SANITARIO DE POBLACIÓN AFILIADA EN GENERAL,C JYP ARROYO CABRAL,MARIANO MORENO,483,GENERAL SAN MARTIN,4,5917,4,,,,,0353-4877247
ARROYO CABRAL,CJP ARROYO CABRAL,04-006-002-020,,1410 - ARTE CULINARIO,C JYP ARROYO CABRAL,MARIANO MORENO,483,GENERAL SAN MARTIN,4,5917,4,,,,,0353-4877247
ARROYO CABRAL,CJP ARROYO CABRAL,04-006-002-020,,1101 - GIMNASIA,C JYP ARROYO CABRAL,MARIANO MORENO,483,GENERAL SAN MARTIN,4,5917,4,,,,,0353-4877247
ARROYO CABRAL,CJP ARROYO CABRAL,04-006-002-020,,1201 - MEMORIA,C JYP ARROYO CABRAL,MARIANO MORENO,483,GENERAL SAN MARTIN,4,5917,4,,,,,0353-4877247
ARROYO CABRAL,CJP ARROYO CABRAL,04-006-002-020,,4104 - CAPACITACIÓN Y TRANSFERENCIA DE TECNOLOGÍAS EN LIDERAZGO COMUNITARIO A ORGANIZACIONES,C JYP ARROYO CABRAL,MARIANO MORENO,483,GENERAL SAN MARTIN,4,5917,4,,,,,0353-4877247
VILLA MARIA,CTRO SUR PARA J Y P NAC. PROV Y MUNICIP,04-006-021-338,,2101 - ALIMENTACIÓN SALUDABLE,C SUR PARA JYP NAC PROV Y MUNIC,MEJICO,618,GRAL S MARTIN,4,5900,0,,,,,
